EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
042857191,YANKEE GOLDEN RETRIEVER RESCUE INC,,110 CHAPIN RD,HUDSON,MA,01749-2607,0000,03,3,1000,198511,1,15,995000000,1,01,202406,7,6,01,0,06,5645299,4492236,645740,D200,
042857324,LAWRENCE ROD & GUN CLUB INC,,PO BOX 142,LAWRENCE,MA,01842-0242,0000,07,3,1000,198801,2,00,149000000,1,01,202412,0,0,02,0,12,0,0,0,N60Z,
042857607,COLES RIVER CLUB INC OF TOUISSET MASSACHUSETTS,% MARTHA LEMOIE,PO BOX 406,SWANSEA,MA,02777-0406,0000,07,3,1000,201510,2,00,000000000,1,01,202509,3,3,01,0,09,45451,58310,58310,N99,
042857768,CHIPPEWA ATHLETIC CLUB INC,% STEVEN A DARIGO,546 DORCHESTER AVE,SOUTH BOSTON,MA,02127-2744,0000,07,3,1000,199212,2,00,319408318,1,01,202412,3,3,01,0,12,66905,72361,65089,,
042857794,MI MANAGEMENT INC,,172 LAWRENCE ST,LAWRENCE,MA,01841-3849,0928,03,9,1000,194603,1,17,001030150,5,01,202412,7,6,01,0,12,9531037,4184526,4048953,,
042859053,THE BOSTON TABERNACLE INCORPORATED,,PO BOX 520328,WINTHROP,MA,02152-0006,0000,03,3,7000,198607,1,10,001000000,1,01,,1,4,06,0,12,,,,,
042859066,DUDLEY STREET NEIGHBORHOOD INITIATIVE INC,,550 DUDLEY ST,ROXBURY,MA,02119-2770,0000,03,3,1000,198612,1,15,400000000,1,01,202406,6,6,01,0,06,4631320,2828874,2828874,S31Z,
042859080,HOMENETMEN EASTERN REGION INC,,80 BIGELOW AVE,WATERTOWN,MA,02472-2012,0000,03,3,1000,198703,1,16,317000000,1,01,202412,4,4,01,0,12,183705,201705,201705,S82Z,
042859088,ROTCH-JONES-DUFF HOUSE & GARDEN MUSEUM INC,,396 COUNTY ST,NEW BEDFORD,MA,02740-4934,0000,03,3,1000,198512,1,15,060000000,1,01,202506,6,6,01,0,06,4226721,1399719,1218446,A50Z,
042859139,ARMORY SQUARE DAY CARE INC,,1 ARMORY SQUARE,SPRINGFIELD,MA,01105-1700,0000,03,3,1000,198504,1,16,574995000,1,01,202412,1,3,01,0,12,1,90731,90731,P33,
042859575,JEWISH CONGREGATION OF WINCHESTER,,125 OVERLOOK RD,ARLINGTON,MA,02474-1620,0000,03,3,7000,198605,1,10,001000000,5,01,,0,0,06,0,06,,,,,
042859592,VALLEY VIEW SCHOOL INC,,PO BOX 338,N BROOKFIELD,MA,01535-0338,0000,03,3,2000,197012,1,15,059160000,1,01,202406,7,6,01,0,06,9185348,3739436,3739436,F33Z,
042859780,ASSOCIATION OF DEVELOPMENTAL DISABILITIES PROVIDERS,,1671 WORCESTER RD STE 201,FRAMINGHAM,MA,01701-5400,0000,03,3,2000,198606,1,16,603995000,1,01,202406,6,6,01,0,06,1160916,1443158,1443158,,
042859910,KEYS OF THE KINGDOM TABERNACLE OF PRAYER FOR ALL PEOPLE INC,% PASTOR NAOMI BURTON,33 N MAIN ST,BROCKTON,MA,02301-3906,0000,03,3,7000,198605,1,10,001029000,1,01,,0,0,06,0,01,,,,,
042860586,NATIONAL ASSOC OF GOVERNMENT EMPLOYEES,% ELLEN M PITTS,46 POTOMAC ST,WEST ROXBURY,MA,02132-2813,2480,05,9,2000,197305,0,00,000000000,0,01,202508,0,0,02,0,08,0,0,0,,01-187-NAGE BROCKTON VA NURSES
042861033,SENIOR CITIZENS FUND OF NEWTON INCORPORATED,% NANCY BROWN TREASURER,PO BOX 600488,NEWTONVILLE,MA,02460-0005,0000,03,3,1000,199105,1,15,927000000,1,01,202506,4,3,02,0,06,223090,45817,45817,,
042861153,DELUCA FOUNDATION INC,,23 STRATHMORE RD STE 2,NATICK,MA,01760-2444,0000,03,3,1000,202101,1,04,927000000,1,01,202504,6,5,00,1,04,4753332,959905,,B82,
042861201,WALDORF SCHOOL AT MORAINE FARM INC,,701 CABOT ST,BEVERLY,MA,01915-1027,0000,03,3,1000,198512,1,11,046059123,1,01,202406,6,6,01,0,06,2934566,1979220,1965105,B24Z,
042861926,CHRIST PRESBYTERIAN CHURCH,,1597 ALLEN ST,SPRINGFIELD,MA,01118-1803,5052,03,9,7000,198205,1,10,001002000,1,01,201112,0,0,06,0,12,,,,,
042862134,UNION CONGREGATIONAL CHURCH,,105 PLEASANT ST,E BRIDGEWTR,MA,02333-1319,1665,03,9,7000,196406,1,10,000000000,5,01,201212,0,0,06,0,12,,,,,
042862189,YOUNG AT HEART CHORUS INCORPORATED,,30 N MAPLE STREET,FLORENCE,MA,01062-1367,0000,03,3,1000,198602,1,15,089088000,1,01,202412,4,4,01,0,12,251294,280324,280324,,
042862244,SEVEN HILLS FOUNDATION INC,,81 HOPE AVE,WORCESTER,MA,01603-2212,3444,03,9,1000,199605,1,15,160149000,1,01,,5,3,01,0,06,,,,P82Z,WAARC REALTY INC
042862269,EASTHAM WINDMILL WEEKEND INC,% STEVEN GARRAN,PO BOX 1331,NORTH EASTHAM,MA,02651-1331,0000,03,3,1200,201510,1,15,000000000,1,01,202412,3,3,02,0,12,31228,30617,27223,B90,
042862401,AGASSIZ BALDWIN COMMUNITY A CAMBRIDGE CORPORATION,,20 SACRAMENTO ST,CAMBRIDGE,MA,02138-1856,0000,03,3,1000,198609,1,16,995000000,1,01,202406,6,6,01,0,06,2502126,2007158,2007158,S22Z,
042862421,FIRST BAPTIST CHURCH,% TIM SHERANKO,50 PARKER ST,E LONGMEADOW,MA,01028-3025,0000,03,3,7000,200205,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,
042863170,CENTER FOR PUBLIC INTEREST RESEARCH INC,% PETER CAMPBELL,294 WASHINGTON ST,BOSTON,MA,02108-4634,0000,03,3,1200,198508,1,15,120000000,1,01,202412,7,6,01,0,12,5853940,3479725,3133605,V20,
042863347,NEW ENGLAND ASSOCIATION FOR FAMILY AND SYSTEMIC THERAPY INC,% ROBIN RISSO,8 MARLBORO STREET,SHREWSBURY,MA,01545-0000,0000,06,3,2000,198712,2,00,563205000,1,01,202412,3,3,01,0,12,42534,51154,51154,,
042863355,CENTER FOR THE STUDY OF GROUPS & SOCIAL SYSTEMS INC,% KEVIN M WILSON TREASURER,4 EMERSON PL APT 1107,BOSTON,MA,02114-2286,0000,03,3,1000,199607,1,16,998000000,1,01,202406,3,3,01,0,06,31019,67655,67655,B99,
042863569,MASSACHUSETTS TEACHERS ASSOCIATION,% TERESA ERMINI,64 DILLON ST,LEOMINSTER,MA,01453-2112,2348,05,9,2000,199204,2,00,279000000,5,01,202406,0,0,02,0,06,0,0,0,,629 LEOMINSTER EDUCATIONAL AIDES
042863685,ITALIAN CULTURAL CENTER OF WESTERN MASSACHUSETTS INC,% CHARLES BECKER,56 MARGARET ST,SPRINGFIELD,MA,01105-2309,0000,03,3,1000,199611,1,16,090064119,1,01,202206,0,0,02,0,06,0,0,0,A230,
042863756,COMMUNITY ROWING INC,% COMM,20 NONANTUM RD,BRIGHTON,MA,02135-2448,0000,03,3,1000,198602,1,15,297000000,1,01,202410,8,7,01,0,10,15216381,8592710,5507902,,
042863873,SUZUKI INSTITUTE OF BOSTON INC,,PO BOX 320057,WEST ROXBURY,MA,02132-0001,0000,03,3,2000,198908,1,11,046000000,1,01,202408,2,3,02,0,08,12314,27787,27787,,
042863899,MASSACHUSETTS SOCIETY OF CLINICAL ONOCOLOGISTS INC,% W KAGAN MD,860 WINTER ST,WALTHAM,MA,02451-1449,0000,03,3,2000,198509,1,15,200000000,1,01,202403,6,4,01,0,03,1366416,378027,378027,,
042863903,MASSACHUSETTS COMMUNITIES ACTION NETWORK INC,% LORRETA ROCHA,14 CUSHING AVE,BOSTON,MA,02125-2009,0000,03,3,1000,198509,1,15,062092000,1,01,202403,6,6,01,0,03,1683739,1074931,1354656,S00B,
042863910,WOODLAWN-NORTH PURCHASE CEMETERIES ASSOC,,825 N MAIN ST,ATTLEBORO,MA,02703-1050,0000,13,3,1000,200309,1,00,000000000,5,01,202507,6,7,01,0,07,3626869,5095048,1478596,Y50,
042864053,SAKYA CENTER FOR BUDDHIST STUDIES AND MEDITATION INC,,PO BOX 391042,CAMBRIDGE,MA,02139-0011,0000,03,3,7000,198610,1,10,001003000,1,01,,0,0,06,0,12,,,,,
042864067,FRIENDS OF WILBRAHAM SENIORS INC,,40 POST OFFICE PARK UNIT 747,WILBRAHAM,MA,01095-7730,0000,03,3,1000,198705,1,15,575000000,1,01,202412,4,0,02,0,12,469941,0,0,,
042864070,FRIENDS OF THAYER PUBLIC LIBRARY INC,,798 WASHINGTON ST,BRAINTREE,MA,02184-6421,0000,03,3,2000,199804,1,16,927602000,1,01,202506,4,3,02,0,06,302168,33889,33889,B71I,
042864081,CHILDRENS HOSPITAL OPTHALMOLOGY FOUNDATION INC,% DAVID G HUNTER MD,300 LONGWOOD AVE,BOSTON,MA,02115-5724,0000,03,3,1000,200407,1,15,000000000,1,01,202409,8,9,01,0,09,49080311,65176190,42720047,E30,
042864099,THE EFFICACY INSTITUTE INCORPORATED,,10 MALL RD STE 301,BURLINGTON,MA,01803-4131,0000,03,3,1200,198610,1,16,059123000,1,01,202506,0,0,02,0,06,0,0,0,,
042864120,AUBURNDALE COMMUNITY NURSERY & DAY CARE CENTER INC,% BARBARA SULLIVAN PRES,230 CENTRAL STREET,NEWTON,MA,02466-2333,0000,03,3,1000,198810,1,16,574000000,1,01,202408,2,5,01,0,08,24188,635945,635945,,
042864138,TECHNICAL TRAINING FOUNDATION,,100 CUMMINGS CTR STE 427A,BEVERLY,MA,01915-6122,0000,03,3,1000,198906,1,04,602000000,2,01,202408,9,8,00,1,08,59676495,21673302,,,
042864255,LOWER CAPE OUTREACH COUNCIL INC,,PO BOX 665,ORLEANS,MA,02653-0665,0000,03,3,1000,198607,1,15,169000000,1,01,202412,6,6,01,0,12,3822774,2642220,2571035,P28Z,
042864287,TAS-CC INC,% ARCHDIOCESE OF BOSTON,ARCHDIOCESE OF BOSTON 66 BROOKS DR,BRAINTREE,MA,02184-0000,0928,03,9,1700,194603,1,10,031150120,5,01,202409,7,5,06,0,09,5406393,506879,506879,,
042864297,BOSTON TEACHERS UNION PARAPROFESSIONAL HEALTH & WELFARE,,180 MOUNT VERNON ST,BOSTON,MA,02125-4869,0000,09,3,1000,198609,2,00,265000000,2,01,202408,8,7,01,0,08,10669165,7347583,3014663,,PARAPROFESSIONAL H & W FUND
042864410,TAU BETA PI ASSOCIATION INC,% GLENN DISSINGER,1 UNIVERSITY AVE,LOWELL,MA,01854-2827,0782,07,9,1000,194501,2,00,036000000,5,01,202412,0,0,02,0,12,0,0,0,,MASSACHUSETTS THETA CHAPTER
042864508,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,% TOM CERES,PO BOX 270,WILMINGTON,MA,01887-0270,0160,05,9,3000,000000,0,00,000000000,0,01,202412,3,4,01,0,12,65616,111783,101796,,L1370 WILMINGTON
042864915,FRIENDS OF CONCORD CARLISLE FOOTBALL INC,% DAVID ROBICHAUD,PO BOX 124,CONCORD,MA,01742-0124,0000,03,3,1000,198612,1,15,000000000,1,01,202412,3,4,01,0,12,50300,144100,103900,,
042864973,HEALTH NEW ENGLAND & SUBSIDIARIES,% TRICIA BRUNTON,1 MONARCH PL STE 1500,SPRINGFIELD,MA,01144-4035,0000,04,3,3000,201511,2,00,000000000,1,01,202412,9,9,01,0,12,294149482,1091339391,995624746,E310,
042867023,FCP INC,% BARBARA WILSON,360 MERRIMACK ST STE 9 # 355,LAWRENCE,MA,01843-1764,0000,03,3,1000,198510,1,15,328000000,1,01,202406,6,7,01,0,06,4266011,9393183,9393183,P400,
042867643,RESIDENTIAL OPTIONS INC,,1 SOUTHSIDE RD,DANVERS,MA,01923-1408,0000,03,3,1000,198603,1,16,160000000,1,01,202406,4,3,01,0,06,413978,73850,73850,,
042867665,METHUEN YOUTH SOCCER ASSOCIATION INC,,PO BOX 1034,METHUEN,MA,01844-0990,0000,03,3,1000,199407,1,16,200000000,1,01,202411,4,4,01,0,11,320359,217983,217120,,
042867671,KOVAGO DEVELOPMENTAL FOUNDATION INC,,30 GREEN ST,ASHLAND,MA,01721-1204,0000,03,3,1000,198909,1,11,046030000,1,01,202406,4,5,01,0,06,498885,950884,749044,B210,
042867778,MT CALVARY HOLY CHURCH OF AMERICA INCORPORATED,,9 OTISFIELD ST,DORCHESTER,MA,02121-1819,0000,03,3,7000,199102,1,10,001000000,1,01,,0,0,06,0,06,,,,,
042867791,SOUTHEASTERN MASSACHUSETTS EMERGENCY MEDICAL SERVICES COUNCIL,% LAURIE WHITE,PO BOX 786,N DIGHTON,MA,02764-0786,0000,03,3,1000,201203,1,15,158000000,1,01,202506,4,4,01,0,06,120992,129000,129000,E60,
042867797,PETS AND PEOPLE FOUNDATION INCORPORATED,,9 CORNERSTONE SQUARE B-400197,WESTFORD,MA,01886-1473,0000,03,3,1000,199007,1,15,525000000,1,01,202412,4,3,01,0,12,266968,79685,79685,,
042867826,VINEYARD INDEPENDENCE PARTNERSHIP INC,,PO BOX 1204,WEST TISBURY,MA,02575-1204,0000,03,3,1000,198604,1,15,160125000,1,01,202412,3,2,02,0,12,98332,22250,22250,,
042867846,ORCHARD PARK TENANTS ASSOCIATION,,25 AMBROSE STREET 2ND,ROXBURY,MA,02119-2625,0000,03,3,1000,201607,1,16,380000000,1,01,202506,0,0,02,0,12,0,0,0,L50,
042867945,GROTON HILL MUSIC INC,,122 OLD AYER RD,GROTON,MA,01450-1826,0000,03,3,2000,198604,1,11,046059000,1,01,202406,9,8,01,0,06,244845809,35398901,30884240,A680,
042867962,THE LEVERETT PARENT-TEACHER ORGANIZATION INC,,85 MONTAGUE RD,LEVERETT,MA,01054-9725,0000,03,3,1000,202507,1,21,035000000,1,01,202006,2,1,01,0,06,16644,6833,6833,B94,LEVERETT ELEMENTARY SCHOOL
042867965,HOUSE OF HOPE INC,,812 MERRIMACK ST,LOWELL,MA,01854-3532,0000,03,3,1200,198510,1,15,560000000,1,01,202506,8,7,01,0,06,12422660,5758785,5726247,L410,
042868067,BAY STATE VILLAGE ASSOCIATION,% NORMAN SPENCER,26 NUTTING AVE,FLORENCE,MA,01062-2835,0000,03,3,1000,200301,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,,
042868110,THE NORTHEAST SCOTCH HIGHLAND BREEDERS ASSOCIATION,% SHEILA WASHBURN,54 BRISTOL ST,DENNIS,MA,02638-2115,0000,05,3,1000,201109,2,00,237000000,1,01,202412,0,0,02,0,12,0,0,0,K20,
042868603,STOHLMAN FOUNDATION INC,,10 KEARNEY RD STE 305,NEEDHAM,MA,02494-2544,0000,03,3,1000,198707,1,15,998000000,1,01,202412,3,1,02,0,12,43383,358,358,,
042868605,MA AGRUCULTURE IN THE CLASSROOM INC,,249 LAKESIDE AVE,MARLBOROUGH,MA,01752-4503,0000,03,3,2000,199202,1,15,994059149,1,01,202412,3,3,01,0,12,69517,94388,87728,,
042868632,CHERRY STREET AND GOLD STREET NEIGHBORHOOD ASSOCIATION INC,% ROBERT POWERS,125 CHERRY ST,SHREWSBURY,MA,01545-4004,0000,04,3,3000,198801,2,00,529400000,5,01,202412,0,0,02,0,12,0,0,0,,
042868843,MASSHIRE NORTH CENTRAL WORKFORCE BOARD INC,,100 ERDMAN WAY,LEOMINSTER,MA,01453-1804,0000,03,3,2000,198609,1,15,566035000,1,01,202406,6,6,01,0,06,2736245,3634833,3634833,J200,
042868890,NEW COVENANT BIBLE FELLOWSHIP,,24 HICKORY LN,HUDSON,MA,01749-2723,0000,03,3,7000,198611,1,10,001005000,1,01,,0,0,06,0,12,,,,,
042868891,MY ONE WISH INC,% ANTHONY F RANDO,PO BOX 79,MILFORD,MA,01757-0079,0000,03,3,1000,199003,1,15,000000000,1,01,202411,0,0,02,0,11,0,0,0,,
042868893,MASS GENERAL BRIGHAM INCORPORATED,% TAX DEPARTMENT,399 REVOLUTION DR STE 645,SOMERVILLE,MA,02145-1444,5803,03,9,1000,201011,1,15,046000000,1,01,201706,9,9,01,0,09,,,,E21,THE MGH INSTITUTE OF HEALTH PROFESS
042870046,THE BOSTON PRINTMAKERS INC,% C DAVID THOMAS EMMANUEL COLL,29 EVERETT ST UNIVERSITY HALL L-019,CAMBRIDGE,MA,02138-2702,0000,03,3,1000,198903,1,16,091000000,1,01,202412,4,3,02,0,12,201086,34289,27266,A400,
042870379,NEEDHAM COMMUNITY TELEVISION DEVELOPMENT CORPORATION,,257 CHESTNUT ST,NEEDHAM,MA,02492-2442,0000,03,3,1000,198606,1,16,121994122,1,01,202412,7,5,01,0,12,5486967,930495,930495,A32,
042871024,COMMUNITY CONNECTIONS INC,% DAVE BOTTING,261 WHITES PATH STE 1,S YARMOUTH,MA,02664-1246,0000,03,3,1000,198601,1,16,399000000,1,01,202406,8,8,01,0,06,17444715,22197935,22174603,P82Z,
042871083,YARMOUTH CHAPT NO 1721 WOMEN OF THE MOOSE,% ELIZABETH HODGKINS,PO BOX 143,S YARMOUTH,MA,02664-0143,0002,08,9,1000,194005,0,00,000000000,1,01,202504,0,0,02,0,04,0,0,0,,1721
042871232,SOCIETY OF COSMETIC CHEMISTS,% BETH MCGOWAN,69 BRICKYARD RD EXT,SOUTHAMPTON,MA,01073-9563,0000,03,3,1000,201410,1,16,000000000,1,01,202412,2,2,02,0,12,24135,19203,19203,B03,NEW ENGLAND CHAPTER INC
042871524,PIRANDELLO LYCEUM INC,,226 ORIENT AVE,EAST BOSTON,MA,02128-1028,0000,03,3,1000,198601,1,15,994119000,1,01,202412,3,3,02,0,12,72949,37426,21049,A230,
042874415,NOBSCOT VALLEY BASKETBALL OFFICIALS ASSOCIATION INC,,90 LAMARRE DR,MARLBOROUGH,MA,01752-1643,0000,03,3,1000,202311,1,16,998000000,1,01,202412,0,0,02,0,12,0,0,0,N62,
042874418,GARDEN CLUB FEDERATION OF MASSACHUSETTS INC,% JANE GIBBONS,43 STEARNS ST,WALTHAM,MA,02453-0449,4277,03,9,2100,200402,1,16,000000000,1,01,202506,0,0,02,0,06,0,0,0,C42,WALTHAM GARDEN CLUB
042874587,AMESBURY YOUTH FUNDING INC,% ROBERT THOMAS,PO BOX 534,AMESBURY,MA,01913-0012,0000,03,3,1000,201001,1,04,561000000,1,01,202505,4,1,00,1,05,352213,8793,,T20,
042874912,ASHMONT HILL CHAMBER MUSIC INC,% JOHN YOUNG,101 MELVILLE AVENE,DORCHESTER CENTER,MA,02124-0000,0000,03,3,2000,198512,1,15,090995000,1,01,202406,0,0,02,0,06,0,0,0,A68,
042874914,LEVY FOUNDATION INC,,20 FREEMAN PL,NEEDHAM,MA,02492-2418,0000,03,3,1000,198601,1,04,001161000,1,01,202406,5,5,00,1,06,700629,565994,,,DAVID A LEVY
042875170,SPRINGFIELD PREGNANCY CARE CENTER INC,,704 SUMNER AVE,SPRINGFIELD,MA,01108-2462,0000,03,3,1000,201304,1,04,994000000,1,01,202412,4,4,00,1,12,126837,171216,,P31,180 CHAPTER
042875183,ASHMONT NURSERY SCHOOL INC,,1 ASHMONT ST,DORCHESTER,MA,02124-3712,0000,03,3,1000,198609,1,15,032000000,1,01,202406,3,4,01,0,06,99105,306025,306025,B21Z,
042875321,ADVENTIST CONGREGATIONAL CHURCH INC,,31 SUPPLE RD,DORCHESTER,MA,02121-3303,0000,03,3,7000,198605,1,10,001029000,1,01,,0,0,06,0,03,,,,,
042875899,CARITAS COMMUNITIES INC,% CLARE FREEMAN/SONJA,25 BRAINTREE HILL PARK STE 206,BRAINTREE,MA,02184-8711,0000,03,3,1000,198703,1,15,380995000,1,01,202412,8,7,01,0,12,18707423,9507268,9194906,L200,
042875902,HOLLISTON CABLE ACCESS INCORPORATED,,PO BOX 6623,HOLLISTON,MA,01746-6623,0000,03,3,1000,198805,1,16,121404000,1,01,202506,4,4,01,0,06,297672,367673,367673,A32Z,
042875906,SOUTH SHORE COALITION OF INDEPENDENT THERAPISTS,,41 POPPLE BOTTOM RD,SANDWICH,MA,02563-2576,0000,03,3,2000,198702,1,15,123000000,1,01,202412,0,0,02,0,12,0,0,0,,
042875916,PINE ISLAND LAKE INC,,PO BOX 183,EASTHAMPTON,MA,01027-0183,0000,07,3,1000,198801,2,00,317000000,1,01,202507,0,0,02,0,07,0,0,0,,
042875922,TREES FOR WATERTOWN INC,% ANNA CLARK,PO BOX 392,WATERTOWN,MA,02471-0392,0000,03,3,1000,198607,2,15,354000000,1,01,202506,3,2,02,0,06,33801,16986,16986,,
042876239,THE ALLEN BIRD CLUB OF SPRINGFIELD MASSACHUSETTS,,15 LAUREL RD,WILBRAHAM,MA,01095-9711,0000,03,3,1000,201508,1,15,379000000,1,01,202405,0,0,02,0,05,0,0,0,C60,
042876245,AZADOUTIOUN FOUNDATION,% GRAVESTAR INC,160 SECOND STREET,CAMBRIDGE,MA,02142-1515,0000,03,3,1000,198510,1,04,602000000,1,01,202412,6,5,00,1,12,2567477,521519,,,
042878239,MONTEREY PRESERVATION LAND TRUST INC,,PO BOX 504,MONTEREY,MA,01245-0504,0000,03,3,1000,198607,1,15,352350000,1,01,202412,6,3,01,0,12,3312262,56405,56405,C340,
042878782,PLEASANT WATER INC ATTN WILLIAM J CORCORAN,% GLIVINSKI AND ASSOCIATES,261 WHITES PATH STE 5,S YARMOUTH,MA,02664-1246,0000,12,3,2000,202103,2,00,000000000,1,01,202412,4,3,01,0,12,183922,66317,66317,Y22,
042879409,VETERANS NORTH EAST OUTREACH CENTER INC,,10 REED ST,HAVERHILL,MA,01832-5411,0000,03,3,2000,198609,1,15,907035000,1,01,202406,7,6,01,0,06,6748022,4365255,3942689,,
042879521,MICHIGAN STATE UNIVERSITY CLUB OF BOSTON,,445 ARTISAN WAY APT 229,SOMERVILLE,MA,02145-1234,0000,03,3,2000,201405,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,B84,
042879638,THE THERAPEUTIC EQUESTRIAN CENTER INC,% THE THERAPEUTIC EQUESTRIAN CENTER,537 NORTHAMPTON ST,HOLYOKE,MA,01040-9515,0000,03,3,1000,198608,1,15,160000000,1,01,202412,3,4,01,0,12,49882,135390,131388,N69Z,
042879833,MULTISTATE ASSOCIATION FOR BILINGUAL EDUCATION-NORTHEAST INC,,PO BOX 281,ASHLAND,MA,01721-0281,0000,03,3,1000,198608,1,16,093000000,1,01,202508,4,5,01,0,08,314927,563665,563665,,
042879857,GREATER BOSTON SOARING CLUB INC,,PO BOX 655,STERLING,MA,01564-0655,0000,07,3,1000,198607,2,00,318000000,1,01,202412,5,4,01,0,12,553199,340539,263923,,
042879910,PARTNERSHIP INC,,155 SEAPORT BOULEVARD 13TH FLO,BOSTON,MA,02210-2698,0000,03,3,1000,198605,1,15,123994000,1,01,202412,7,6,01,0,12,5773342,3766884,3766884,A99,
042880073,BETHANY CHARISMATIC CATHOLIC CHURCH OF AMERICA INC,% RAYMOND A CONTOIS,PO BOX 607,PALMER,MA,01069-0607,0000,03,3,1000,198905,1,15,003004005,1,01,202412,0,0,02,0,12,0,0,0,X20Z,
042880104,N B M HIGHWAY ASSOCIATION INC,,130 CENTER ST,NORTH EASTON,MA,02356-1802,0000,06,3,2000,198704,2,00,205229000,1,01,202412,4,4,01,0,12,225665,206166,206166,,
042880108,VNA CARE MANAGEMENT RESOURCES INC,% CRYSTAL WELLWOOD,67 MILLBROOK STREET 500N,WORCESTER,MA,01606-2835,0000,03,3,1000,198706,1,16,179000000,1,01,202412,9,8,01,0,12,50173925,17228631,17228631,E92Z,
042880372,MASSACHUSETTS JUSTICES OF THE PEACE ASSOCIATION INC,% M RICH,10 CHAPMAN ST,CANTON,MA,02021-2002,0000,03,3,1000,198704,1,15,149205000,1,01,202506,0,0,02,0,06,0,0,0,,
042880378,SHAUN P SCULLY SCHOLARSHIP FUND INC,,314 MAIN STREET,WILMINGTON,MA,01887-2772,0000,03,3,1000,199111,1,03,040043000,1,01,202412,4,2,00,1,12,134553,10481,,,
042880422,FRIENDS OF THE NORFOLK PUBLIC LIBRARY INC,% ELISABATH VALLEE,2 LIBERTY LN,NORFOLK,MA,02056-1449,0000,03,3,1000,198604,1,16,602092000,1,01,202506,3,3,02,0,06,89155,48376,42730,,
042880502,ALZHEIMERS SUPPORT NETWORK OF SOUTH CENTRAL MASSACHUSETTS INC,,PO BOX 839,SOUTHBRIDGE,MA,01550-0839,0000,03,3,1000,198804,1,15,408569000,1,01,202412,3,2,02,0,12,72645,11894,11894,,
042880562,INSTITUTE FOR TRAINING AND DEVELOPMENT INC,,447 WEST STREET,AMHERST,MA,01002-2933,0000,03,3,2000,198605,1,16,149000000,1,01,202412,6,6,01,0,12,1543540,2842752,2842752,Q200,
042880644,WHY ME INC,% TERENCE J SHEPHERD,1152 PLEASANT ST,WORCESTER,MA,01602-1619,0000,03,3,1000,198712,1,15,349560561,1,01,202407,7,6,01,0,07,7025818,2373689,1536053,,
042880851,REIGNING LOVE CHRISTIAN CTR,,PO BOX 2112,PITTSFIELD,MA,01202-2112,0000,03,3,7000,198609,1,10,001000000,1,01,,0,0,06,0,12,,,,,
042880883,CRYSTAL WATERS ANGLERS CLUB INC,% WALTER KULLAS,81 BRIARWOOD DR,TAUNTON,MA,02780-3708,0000,07,3,1000,198806,2,00,286000000,1,01,202412,0,0,02,0,12,0,0,0,,
042881335,PROJECT ACTS,,20 COMO RD,READVILLE,MA,02136-1903,0000,03,3,7000,198512,1,10,002149429,1,01,,0,0,06,0,06,,,,,
042881348,LOWELL COMMUNITY HEALTH CENTER INC,% ROBIN LICATA,161 JACKSON ST,LOWELL,MA,01852-2103,0000,03,3,1000,198604,1,12,150154000,1,01,202409,9,9,01,0,09,96645105,76081384,72293214,E32Z,
042881804,ANDOVER CHINESE CULTURAL EXCHANGE INC,% ZHENWEI CHU,9 BARTLET ST UNIT 106,ANDOVER,MA,01810-3655,0000,03,3,1000,202312,1,15,119000000,5,01,202412,0,0,02,0,12,0,0,0,A20,
042881827,ANIMAL CONTROL OFFICERS ASSOCIATION OF MASSACHUSETTS INC,,890 BROCK AVE,NEW BEDFORD,MA,02744-1626,0000,03,3,2000,201709,1,16,566000000,1,01,202406,3,3,02,0,06,88089,32454,32454,D03,
042882116,FRIENDS OF THE FRAMINGHAM LIBRARY ASSOCIATION INC,,49 LEXINGTON ST,FRAMINGHAM,MA,01702-8218,0000,03,3,1000,198601,1,16,602000000,1,01,202506,4,4,01,0,06,278038,109831,87227,,
042883147,FBI NATIONAL ACADEMY ASSOCIATES INC,% JASON MOEN,3 WALPOLE ST,DOVER,MA,02030-2537,3349,03,9,1200,199309,1,16,149205000,5,01,202212,4,3,01,0,12,169690,58692,58692,,NEW ENGLAND CHAPTER
042883153,THE MASSACHUSETTS ASSOCIATION FOR ADULT DAY HEALTH SERVICES INC,% ANN MARCHETTA,1 FLORENCE ST,BOSTON,MA,02131-3638,0000,03,3,2000,198701,1,16,123205000,1,01,202408,4,4,01,0,08,136722,257638,257638,P700,
042883378,ROSLINDALE VILLAGE MAIN STREET INC,,4236A WASHINGTON ST,BOSTON,MA,02131-2537,0000,03,3,1000,199112,1,15,400000000,1,01,202412,4,4,01,0,12,467453,469477,456673,S200,
042883631,FRIEND OF PLEASANT BAY INC,,PO BOX 1243,HARWICH,MA,02645-6243,0000,03,3,1000,198611,1,15,350353354,1,01,202506,4,3,01,0,06,170510,97953,97953,C123,
